iso3,spectrum_country,year,totpop,hivpop,artpop_dec31,art_coverage
ZAF,South Africa,2013,38002879.17176004,5946339.205219999,2633352.000000001,0.4428526374156911
ZAF,South Africa,2014,38683526.88040004,6161559.036409998,3022533,0.4905467889115713
ZAF,South Africa,2015,39366074.617020026,6370595.56236,3445469.9999999986,0.5408395441640024
ZAF,South Africa,2016,40033397.86863,6563404.713959999,3939890,0.6002814349723203
ZAF,South Africa,2017,40703624.8977,6740227.570020004,4436204.999999999,0.6581684303556583
ZAF,South Africa,2018,41375246.33717002,6908308.616920004,4831295.000000001,0.6993455660285748
ZAF,South Africa,2019,42074605.48031004,7065723.079109998,5159475.000000003,0.7302118894602776
ZAF,South Africa,2020,42810762.98405002,7212522.950889997,5428510.000000001,0.7526506379200005
ZAF,South Africa,2021,43455471.08175003,7340778.51233,5654424.999999999,0.7702759306117868
ZAF,South Africa,2022,44169938.68294999,7461118.616210001,5858169.999999997,0.7851597463244395
ZAF,South Africa,2023,45005578.62804001,7580292.268970001,6041150.000000001,0.7969547592154865
ZAF,South Africa,2024,45856373.501250006,7688135.344939997,6212714.999999999,0.8080912628689534
ZMB,Zambia,2000,5135500.8166000005,647909.3771299999,0,0
ZMB,Zambia,2001,5325571.29661,658880.7535500004,0,0
ZMB,Zambia,2002,5501857.948900002,665251.3239600002,141.99999999999997,2.1345316406846875e-4
ZMB,Zambia,2003,5701649.867209997,674434.7685399997,15327.999999999987,0.022727179432314375
ZMB,Zambia,2004,5899220.780200002,683992.73549,29998.000000000004,0.04385719093713763
ZMB,Zambia,2005,6130040.2782,698970.9781900003,51764.00000000003,0.07405743817009967
ZMB,Zambia,2006,6365916.40109,716426.7363300001,78682,0.1098256053411127
ZMB,Zambia,2007,6630505.039809999,741544.8330700002,151681.99999999997,0.20454865739140216
ZMB,Zambia,2008,6897203.622960003,770897.1734300001,210442.0000000001,0.2729832294800973
ZMB,Zambia,2009,7181853.844249999,805855.2036800003,265706.0000000001,0.3297192830506437
ZMB,Zambia,2010,7459599.036379997,842858.6198999998,324896.0000000001,0.38546915500318085
ZMB,Zambia,2011,7739200.395940001,882149.6607799999,395502.9999999999,0.4483400239028542
ZMB,Zambia,2012,8026225.385620001,924972.6654999997,446182.9999999998,0.4823742545503362
ZMB,Zambia,2013,8331772.0266799955,972741.0774699999,520626.9999999996,0.5352164230116582
ZMB,Zambia,2014,8650488.774760002,1022090.6805000004,609480.0000000001,0.5963071688530085
ZMB,Zambia,2015,8980390.372690005,1072242.2628300006,706743.0000000001,0.6591262296774915
ZMB,Zambia,2016,9320888.205440005,1124113.3674700004,749082.9999999999,0.666376738927972
ZMB,Zambia,2017,9676020.02944,1177018.75892,803956.9999999998,0.6830451884536561
ZMB,Zambia,2018,10040909.160869997,1223538.210810001,920436,0.7522740130777422
ZMB,Zambia,2019,10421753.452239996,1260173.1937299992,1024199,0.8127446331154395
ZMB,Zambia,2020,10804872.282470008,1284374.2590000003,1132496.9999999998,0.8817499977629181
ZMB,Zambia,2021,11190574.822189996,1301080.0705399993,1155051.9999999995,0.8877639633052005
ZMB,Zambia,2022,11575534.369490007,1312719.5449599999,1225963,0.9339108301593518
ZMB,Zambia,2023,11979465.435099998,1321596.8827500003,1232665.0000000002,0.9327087677711912
ZMB,Zambia,2024,12398470.207299996,1330087.2166200005,1274994.0000000007,0.958579245081385
ZWE,Zimbabwe,2000,6724468.119540003,1614953.7830200004,0,0
ZWE,Zimbabwe,2001,6797513.143609999,1553328.09981,0,0
ZWE,Zimbabwe,2002,6865485.85714,1486226.6407600003,0,0
ZWE,Zimbabwe,2003,6931310.995760002,1417745.54115,0,0
ZWE,Zimbabwe,2004,7002127.940050003,1353691.7486299998,10999.999999999996,0.008125926756318428
ZWE,Zimbabwe,2005,7082074.0269100005,1297378.46505,25866.999999999985,0.019937898382645876
ZWE,Zimbabwe,2006,7170448.987299999,1251353.6550399999,53632,0.042859186756669235
ZWE,Zimbabwe,2007,7267698.017800002,1215140.7442899991,90089.00000000004,0.07413873695152788
ZWE,Zimbabwe,2008,7376804.040300001,1190637.2914099991,134723.0000000001,0.1131520077289498
ZWE,Zimbabwe,2009,7503974.066769999,1179245.2063799992,199630.00000000006,0.169286251001873
ZWE,Zimbabwe,2010,7652855.134089999,1185126.6418,330378.99999999994,0.2787710514196289
ZWE,Zimbabwe,2011,7837466.85613,1194678.9316499995,444663.0000000003,0.3722029310300682
ZWE,Zimbabwe,2012,8035899.910919999,1209625.2907200002,518790.99999999977,0.4288857086405675
ZWE,Zimbabwe,2013,8242063.061610002,1224042.85258,618880,0.505603213723722
ZWE,Zimbabwe,2014,8453163.94911,1236099.0553300001,703602.9999999999,0.5692124728727017
ZWE,Zimbabwe,2015,8664376.11916,1245911.8557499999,776530.0000000001,0.6232623892422577
ZWE,Zimbabwe,2016,8876777.942449998,1254543.2220999992,854597.9999999997,0.6812025165378319
ZWE,Zimbabwe,2017,9090835.985510005,1256779.1079300004,978162,0.778308609546429
ZWE,Zimbabwe,2018,9306878.004509993,1255166.7399599997,1031984.0000000003,0.8221887715355556
ZWE,Zimbabwe,2019,9524081.206319999,1252190.9488900003,1088482.0000000002,0.8692619931208421
ZWE,Zimbabwe,2020,9742674.004640002,1246973.7920699997,1117496,0.8961663886655836
ZWE,Zimbabwe,2021,9978743.898700003,1245736.7470799994,1136245.9999999986,0.9121076364355097
ZWE,Zimbabwe,2022,10233333.052079994,1240878.1185100004,1182125.9999999995,0.9526527886715029
ZWE,Zimbabwe,2023,10505329.16052,1235667.2780499994,1189793,0.9628748945085012
ZWE,Zimbabwe,2024,10794991.90182,1231826.5219,1192465.9999999993,0.9680470251287575
LSO,Lesotho,2000,1062873.00134,208032.78650999998,0,0
LSO,Lesotho,2001,1077009.0006499998,216311.2314699998,0,0
LSO,Lesotho,2002,1090103.9952,222554.14273000005,381.9999999999998,0.0017164362582252062
LSO,Lesotho,2003,1100457.9992200006,227442.2752500001,1107.9999999999998,0.004871565757870246
LSO,Lesotho,2004,1107628.98981,230648.85644999996,1836.0000000000007,0.007960152190904136
LSO,Lesotho,2005,1112489.0029300002,233470.69928,8203.000000000002,0.03513502990009977
LSO,Lesotho,2006,1116709.0001700001,237322.44506999996,16071.000000000007,0.06771799437368746
LSO,Lesotho,2007,1122236.00287,243185.49452999997,37525.00000000003,0.15430607846296052
LSO,Lesotho,2008,1129735.9945599996,250581.21360000005,50668.99999999998,0.20220590072200037
LSO,Lesotho,2009,1138511.00246,258090.19895000002,72077.00000000001,0.2792705817316354
LSO,Lesotho,2010,1147838.0058499998,264648.84591,89474.99999999997,0.3380895151548404
LSO,Lesotho,2011,1157151.00761,270531.16274000006,93146.00000000001,0.3443078389069729
LSO,Lesotho,2012,1165980.9883299998,275361.01197,103843.99999999999,0.37711947402093937
LSO,Lesotho,2013,1174219.0087999997,279388.0514199999,115670.99999999996,0.41401555797428663
LSO,Lesotho,2014,1182035.01093,281934.4695299998,126761.99999999999,0.4496151187590477
LSO,Lesotho,2015,1190047.0185699996,283001.2148799999,145993,0.5158741105118752
LSO,Lesotho,2016,1199112.0071499997,282171.0646400002,171993.99999999994,0.6095380482028997
LSO,Lesotho,2017,1209373.0095399998,279940.7506900001,192879.99999999997,0.6890029391026061
LSO,Lesotho,2018,1220275.9843600001,277044.96151,197798.99999999985,0.7139599252118515
LSO,Lesotho,2019,1231432.99423,273808.65376,212536.0000000001,0.7762209012805457
LSO,Lesotho,2020,1242930.0022299998,270325.0979599999,221072.99999999988,0.8178041982350899
LSO,Lesotho,2021,1254829.0077900002,266286.98529,226199.9999999999,0.8494594647712755
LSO,Lesotho,2022,1273802.5220500003,262866.24473,229714.99999999997,0.8738855011070329
LSO,Lesotho,2023,1293625.0239300004,259788.20380999995,236353,0.9097911165083552
LSO,Lesotho,2024,1313614.8959300006,256143.63686,241175,0.941561550997336
