,Survey ID,Year(s) of study,WHO region,Reported measure of bacteriological TB,Female TB prevalence (as reported),Male TB prevalence (as reported),Female TB prevalence (as modelled),Male TB prevalence (as modelled),Total participants (N),Male participants (%),Probability of bias
44,Myanmar (National) ,2009-2010,South-East Asia region,Adjusted bacteriological positive TB prevalence,367.4 (287.7-469.1),930.6 (742.6-1165.5),367,931,51367,43.6,Low
63,"Bangladesh (Mirpur, Dhaka City)",2009-2010,South-East Asia region,Count of bacteriological positive TB,10,16,121,237,15024,44.97,Moderate
54,India (Chennai),2010-2012,South-East Asia region,Adjusted bacteriological positive TB prevalence,140 (97-182),571 (487-656),140,571,55617,48.44,Low
6,India (Gujarat State) ,2011-2012,South-East Asia region,Adjusted bacteriological positive TB prevalence,248.8 (186.7-311.0),610.9 (512.0-709.9),249,611,87530,49.42,Low
97,"India (Pohari Block, Shivpuri District)","2012-2013, 2014-2015",South-East Asia region,Count of bacteriological positive TB,62,231,1246,4832,9756,49.01,Moderate
87,India (Saharia Tribal) ,2013-2013,South-East Asia region,Count of bacteriological positive TB,62,231,1246,4832,9756,49.01,Moderate
80,Indonesia (National) ,2013-2014,South-East Asia region,Adjusted bacteriological positive TB prevalence,460.6 (353.6-590.8),1082.7 (872.8-1337.3),461,1083,67944,46.56,Low
9,India (Saharia Tribal) ,2015-2015,South-East Asia region,Count of bacteriological positive TB,46,149,906,3170,9775,48.08,Moderate
77,DPR Korea (National),2015-2016,South-East Asia region,Adjusted bacteriological positive TB prevalence,319 (256-382),917 (783-1052),319,917,60683,44.55,Low
79,Bangladesh (National) ,2015-2016,South-East Asia region,Adjusted bacteriological positive TB prevalence,143 (109-178),452 (379-526),143,452,98710,44.94,Low
88,India (Maharashtra Tribal),2015-2017,South-East Asia region,Count of smear positive TB,1,3,28,91,6898,47.8,High
94,India (Tiruvallur District),2015-2018,South-East Asia region,Count of bacteriological positive TB,28,164,85,555,62494,47.27,Moderate
86,India (National Tribal) ,2015-2020,South-East Asia region,Count of bacteriological positive TB,65,134,167,377,74532,47.67,Moderate
74,Myanmar (National) ,2017-2018,South-East Asia region,Count of bacteriological positive TB,86,236,223,843,66480,42.1,Moderate
71,Nepal (National) ,2018-2019,South-East Asia region,Adjusted bacteriological positive TB prevalence,235.2 (171.4-299.1),530.1 (428.3-631.8),235,530,54200,42.39,Low
75,India (National),2019-2021,South-East Asia region,Adjusted bacteriological positive TB prevalence,154 (131-177),472 (429-514),154,472,322480,44.07,Low
51,"India (R.S. Pura Block, Jammu City) ",Not reported,South-East Asia region,Count of smear positive TB,2,8,87,297,5000,53.82,High
8,China (National) ,2000,Western Pacific region,Adjusted bacteriological positive TB prevalence,115 (96-139),304 (275-337),115,304,NA,NA,Low
26,Viet Nam (Bavi District) ,2000,Western Pacific region,Crude smear positive TB prevalence,79 (39-118),60 (23-97),79,60,35832,46.71,High
46,Cambodia (National) ,2002,Western Pacific region,Count of bacteriological positive TB,116,151,1189,1916,17641,44.69,Low
23,Viet Nam (Central Highlands),2003,Western Pacific region,Crude smear positive TB prevalence,18 (6-38),26 (12-49),18,26,68946,50.49,Moderate
25,Phillipines (National),2007,Western Pacific region,Count of bacteriological positive TB,44,107,374,964,22867,48.55,Moderate
20,China (Shandong Province),2010,Western Pacific region,Adjusted bacteriological positive TB prevalence,15.7 (3.9-27.5),43.3 (15.9-70.7),16,43,54279,46.81,Low
22,China (National) ,2010,Western Pacific region,Adjusted bacteriological positive TB prevalence,64 (52-79),183 (157-215),64,183,252940,NA,Low
83,China (Multiple Areas),2013,Western Pacific region,Crude bacteriological positive TB prevalence,93.35 (48.97-137.72),280.25 (198.37-362.14),93,280,34269,53.14,Moderate
70,Philippines (National) ,2016,Western Pacific region,Adjusted bacteriological positive TB prevalence,627 (516-739),1713 (1482-1943),627,1713,46689,44.75,Low
49,Viet Nam (Hanoi City) ,2003-2004,Western Pacific region,Count of bacteriological positive TB,12,10,185,230,10818,40.12,Moderate
13,Viet Nam (National),2006-2007,Western Pacific region,Adjusted bacteriological positive TB prevalence,118 (75-161),536 (431-642),118,536,94170,45.24,Low
47,Cambodia (National) ,2010-2011,Western Pacific region,Adjusted bacteriological positive TB prevalence,609 (486-763),1097 (895-1344),609,1097,37417,45.45,Low
48,Lao Pdr (National),2010-2011,Western Pacific region,Adjusted bacteriological positive TB prevalence,366 (254-477),855 (646-1064),366,855,39212,45.24,Low
90,China (Xinjiang Uyghur Region),2010-2011,Western Pacific region,Adjusted bacteriological positive TB prevalence,341 (143-538),519 (327-712),341,519,29835,48.39,Low
72,Mongolia (National),2014-2015,Western Pacific region,Adjusted bacteriological positive TB prevalence,298 (225-372),840 (646-1033),298,840,50309,39.89,Low
89,Viet Nam (National),2017-2018,Western Pacific region,Adjusted bacteriological positive TB prevalence,133 (89-198),522 (420-648),133,522,61763,43.96,Low
21,China (Yunnan Province),NA,Western Pacific region,Count of bacteriological positive TB,26,75,554,1626,9305,49.58,Moderate
