"","covariate_name_short","location_id","location_name","year_id","age_group_id","age_group_name","sex_id","sex","mean_value","lower_value","upper_value"
"141658","smoking_prev",12,"Lao People's Democratic Republic",1994,11,"30 to 34",1,"Male",0.443081160498007,0.359564275763868,0.540170643394922
"141659","smoking_prev",12,"Lao People's Democratic Republic",1994,12,"35 to 39",1,"Male",0.532393827853271,0.447267208912424,0.62005545166238
"141660","smoking_prev",12,"Lao People's Democratic Republic",1994,13,"40 to 44",1,"Male",0.573530643775224,0.479076949785378,0.671844595689583
"141661","smoking_prev",12,"Lao People's Democratic Republic",1994,14,"45 to 49",1,"Male",0.551980728858415,0.454895650390853,0.646642319487078
"141662","smoking_prev",12,"Lao People's Democratic Republic",1994,15,"50 to 54",1,"Male",0.48228579833788,0.386934704359085,0.582706685372275
"141663","smoking_prev",12,"Lao People's Democratic Republic",1994,16,"55 to 59",1,"Male",0.549638340391414,0.457907096314518,0.636277340747525
"141664","smoking_prev",12,"Lao People's Democratic Republic",1994,17,"60 to 64",1,"Male",0.508899501295805,0.401059807295558,0.606375101803832
"141665","smoking_prev",12,"Lao People's Democratic Republic",1994,18,"65 to 69",1,"Male",0.502236892929793,0.400972260827621,0.603297611384464
"141666","smoking_prev",12,"Lao People's Democratic Republic",1994,19,"70 to 74",1,"Male",0.456201176491835,0.352853239518705,0.564216310217804
"141667","smoking_prev",12,"Lao People's Democratic Republic",1994,20,"75 to 79",1,"Male",0.452947879648587,0.351124013772528,0.557667260591568
"141668","smoking_prev",12,"Lao People's Democratic Republic",1994,30,"80 to 84",1,"Male",0.358373029508439,0.257937371448894,0.462534685508959
"141669","smoking_prev",12,"Lao People's Democratic Republic",1994,31,"85 to 89",1,"Male",0.358373029508439,0.257937371448894,0.462534685508959
"141670","smoking_prev",12,"Lao People's Democratic Republic",1994,32,"90 to 94",1,"Male",0.358373029508439,0.257937371448894,0.462534685508959
"141672","smoking_prev",12,"Lao People's Democratic Republic",1994,235,"95 plus",1,"Male",0.358373029508439,0.257937371448894,0.462534685508959
"141679","smoking_prev",12,"Lao People's Democratic Republic",1994,7,"10 to 14",2,"Female",0.0216594209364127,0.00822779369776893,0.045635688032482
"141680","smoking_prev",12,"Lao People's Democratic Republic",1994,8,"15 to 19",2,"Female",0.0275351300982487,0.010989643595974,0.0592332372246336
"141681","smoking_prev",12,"Lao People's Democratic Republic",1994,9,"20 to 24",2,"Female",0.0197652814753176,0.00751957175848998,0.042182090611881
"141682","smoking_prev",12,"Lao People's Democratic Republic",1994,10,"25 to 29",2,"Female",0.0308241328090066,0.0119997621350591,0.0612485126026679
"141683","smoking_prev",12,"Lao People's Democratic Republic",1994,11,"30 to 34",2,"Female",0.0519517182904473,0.0202556447141449,0.10172168767845
"141684","smoking_prev",12,"Lao People's Democratic Republic",1994,12,"35 to 39",2,"Female",0.0637979537973302,0.0264759653885391,0.130645892193476
"141685","smoking_prev",12,"Lao People's Democratic Republic",1994,13,"40 to 44",2,"Female",0.071261276659471,0.029893491888033,0.141158884016441
"141686","smoking_prev",12,"Lao People's Democratic Republic",1994,14,"45 to 49",2,"Female",0.0606066918281359,0.025550992840687,0.128750193945258
"141687","smoking_prev",12,"Lao People's Democratic Republic",1994,15,"50 to 54",2,"Female",0.062982920174549,0.0259277837364873,0.129355089667258
"141688","smoking_prev",12,"Lao People's Democratic Republic",1994,16,"55 to 59",2,"Female",0.0828007512767005,0.0316091584034011,0.165241894799571
"141689","smoking_prev",12,"Lao People's Democratic Republic",1994,17,"60 to 64",2,"Female",0.0861631922136609,0.0366347177620781,0.177495404883401
"141690","smoking_prev",12,"Lao People's Democratic Republic",1994,18,"65 to 69",2,"Female",0.0851378213547687,0.0353890447108725,0.168673692756654
"141691","smoking_prev",12,"Lao People's Democratic Republic",1994,19,"70 to 74",2,"Female",0.0609800250397542,0.0234559916649925,0.124306541873751
"141692","smoking_prev",12,"Lao People's Democratic Republic",1994,20,"75 to 79",2,"Female",0.0471720507744889,0.0187146691365934,0.103233852789332
"141693","smoking_prev",12,"Lao People's Democratic Republic",1994,30,"80 to 84",2,"Female",0.0483068329311672,0.0184951608013675,0.0994079868434059
"141694","smoking_prev",12,"Lao People's Democratic Republic",1994,31,"85 to 89",2,"Female",0.0483068329311672,0.0184951608013675,0.0994079868434059
"141695","smoking_prev",12,"Lao People's Democratic Republic",1994,32,"90 to 94",2,"Female",0.0483068329311672,0.0184951608013675,0.0994079868434059
"141697","smoking_prev",12,"Lao People's Democratic Republic",1994,235,"95 plus",2,"Female",0.0483068329311672,0.0184951608013675,0.0994079868434059
"141804","smoking_prev",15,"Myanmar",1994,7,"10 to 14",1,"Male",0.161199480971889,0.113285240799738,0.218699706023674
"141805","smoking_prev",15,"Myanmar",1994,8,"15 to 19",1,"Male",0.299542562981309,0.227044119197379,0.375863129329017
"141806","smoking_prev",15,"Myanmar",1994,9,"20 to 24",1,"Male",0.520646723318134,0.424646170434394,0.607648660740287
"141807","smoking_prev",15,"Myanmar",1994,10,"25 to 29",1,"Male",0.57736279215243,0.491824588142872,0.664296048096249
"141808","smoking_prev",15,"Myanmar",1994,11,"30 to 34",1,"Male",0.582335362113064,0.497552358881679,0.664013632131252
"141809","smoking_prev",15,"Myanmar",1994,12,"35 to 39",1,"Male",0.623391154552765,0.533388592029786,0.703119279563837
"141810","smoking_prev",15,"Myanmar",1994,13,"40 to 44",1,"Male",0.618473100422021,0.537879224134075,0.699535247162487
"141811","smoking_prev",15,"Myanmar",1994,14,"45 to 49",1,"Male",0.643652212971858,0.561805524463019,0.721006589599477
"141812","smoking_prev",15,"Myanmar",1994,15,"50 to 54",1,"Male",0.647112371741827,0.562759727597622,0.72317050488544
"141813","smoking_prev",15,"Myanmar",1994,16,"55 to 59",1,"Male",0.593837943699582,0.507676794495081,0.682008223849076
"141814","smoking_prev",15,"Myanmar",1994,17,"60 to 64",1,"Male",0.583379164824111,0.492711211977499,0.675655026583298
"141815","smoking_prev",15,"Myanmar",1994,18,"65 to 69",1,"Male",0.598006841152921,0.504103336470517,0.685817409316388
"141816","smoking_prev",15,"Myanmar",1994,19,"70 to 74",1,"Male",0.520499284448995,0.42607071122318,0.609122368561081
