measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1994,0.000225272,0.000259784,0.000197247
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1994,0.000273778,0.000314083,0.000242258
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1994,107.3686642,119.22289602414001,96.4637091
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1994,78.09834204,87.71002259,69.70001483822999
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1994,93.23187857,104.0368653,83.90513376
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1995,672160.9867380366,743853.9793797996,609001.3458751417
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1995,452759.4262065361,505013.89973788377,405522.4877871733
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1995,1124920.412944574,1246904.2386278987,1020266.2932731062
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1995,0.000317121,0.000358683,0.000281406
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1995,0.000220459,0.000250904,0.000195776
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1995,0.000269549,0.000304001,0.000240172
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1995,105.38302431123999,116.623225,95.48070314
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1995,75.97652167,84.74522511,68.04979929
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1995,91.17919552,101.0664613,82.69657015
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1996,658107.2850044558,725673.0819029885,595913.9078850469
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1996,440118.77380416094,490124.4366392729,395322.4367730066
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1996,1098226.058808617,1213854.8501765546,996193.5601
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1996,0.000311737,0.000351467,0.000277246
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1996,0.000214505,0.000244238,0.000191265
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1996,0.00026381,0.000297765,0.000236202
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1996,102.7098192,113.254712,93.00339187
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1996,73.46238773380999,81.8090787,65.98521094
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1996,88.57719627,97.90321259,80.34778613
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1997,638214.4713451541,703178.3340213825,578262.9050027186
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1997,424427.0382169313,471579.1372073356,382192.87666304654
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1997,1062641.5095620863,1168607.9130032673,965250.9711
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1997,0.00030413,0.000341782,0.000270864
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1997,0.000207267,0.000236275,0.000185213
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1997,0.000256288,0.000289245,0.000229677
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1997,99.25359362111001,109.3566187,89.9300689
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1997,70.50550199540001,78.3383734,63.48959468
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1997,85.35333797,93.86475614,77.53074919660999
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1998,615993.6809976064,676797.3883339367,558883.4458419139
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1998,407533.2483155503,451838.8724721682,367214.0494999862
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1998,1023526.9293131572,1121917.007481365,928974.6174249884
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1998,0.000295535,0.000332226,0.000263061
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,1998,0.000199429,0.000226789,0.000178007
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,1998,0.000247954,0.000279785,0.000222532
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,1998,95.51692407,104.9452401,86.6613235
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,1998,67.39411629,74.72097465,60.726496445079995
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,1998,81.90791942263999,89.78160243,74.34135432155999
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,1999,595674.3659618449,652598.1268,541468.8029239451
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,1999,391559.1961901245,433784.9611855771,353937.9481
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,1999,987233.5621519692,1084676.6741577734,896921.6170917386
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,1999,0.000287698,0.000323584,0.000256579
