"Study.title","Study.ID","Column.name","Error.message"
"Epidemiology of tuberculosis in an urban slum of Dhaka City, Bangladesh",26878,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis on the roof of the world",26874,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among adults in a north Indian district",26872,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey",26863,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"The Zimbabwe National Population based Tuberculosis Prevalence Survey",26857,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Estimation of the burden of bacteriologically positive Tuberculosis among Adults in Kashmir: A baseline for future surveys in the Valley",26237,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey",22290,"n.participants.sex.total","Extracted total is not equal to sum of extracted stratified data."
"SURVEY FOR ASSESSING PREVALENCE OF PULMONARY TUBERCULOSIS CASES IN THE POPULATION BASED STATE OF GUJARAT, INDIA (2011-2012) Report on Population based survey to assess prevalence of pulmonary tuberculosis cases in the state of Gujarat, India (2011-12) Ded",26983,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)",26973,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Significant decline in the tuberculosis burden in the Philippines ten years after initiating DOTS",26944,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"The first population-based national tuberculosis prevalence survey in Ethiopia, 2010-2011",26913,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Eswatini National Tuberculosis Prevalence Survey Report, 2018-2019",26865,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Fourth National Tuberculosis Prevalence Survey Report (2017-2018) Myanmar",26864,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Lesotho Tuberculosis Prevalence Survey",26862,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis in western China in 2010-11: a population-based, cross-sectional survey",24214,"n.participants.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"Antiretroviral program associated with reduction in untreated prevalent tuberculosis in a South African township",26911,"n.participants.hiv.total","Extracted total is not equal to sum of extracted stratified data."
"Comparison of two active case-finding strategies for community-based diagnosis of symptomatic smear-positive tuberculosis and control of infectious tuberculosis in Harare, Zimbabwe (DETECTB): a cluster-randomised trial",26887,"n.participants.hiv.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalent infectious tuberculosis in Harare, Zimbabwe: burden, risk factors and implications for control",26886,"n.participants.hiv.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey",22290,"n.participants.hiv.total","Extracted total is not equal to sum of extracted stratified data."
"Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator (ASSAM)",26979,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)",26973,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis prevalence in China, 1990-2010; a longitudinal analysis of national survey data",26949,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"The 1997 nationwide tuberculosis prevalence survey in the Philippines",26946,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of tuberculosis in Faridabad district, Haryana State, India",26939,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Yield of undetected tuberculosis and human immunodeficiency virus coinfection from active case finding in urban Uganda",26936,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Pulmonary tuberculosis in an indigenous community in the mountains of Ecuador",26933,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Active detection of tuberculosis and paragonimiasis in the remote areas in North-Eastern India using cough as a simple indicator",26932,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among the Bharia, a primitive tribe of Madhya Pradesh, central India",26930,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011",26928,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of tuberculosis in adolescents, western Kenya: implications for control programs",26924,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Report of the national TB prevalence survey, 2002",26912,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Cross-sectional studies of tuberculosis prevalence in Cambodia between 2002 and 2011",26910,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis in far Western Nepal",26901,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Burden of tuberculosis in Kampala, Uganda",26895,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis burden in an urban population: A cross sectional tuberculosis survey from Guinea Bissau",26883,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Epidemiology of tuberculosis in an urban slum of Dhaka City, Bangladesh",26878,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Effect of household and community interventions on the burden of tuberculosis in southern Africa: the ZAMSTAR community-randomised trial",26875,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis on the roof of the world",26874,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan",26873,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Lesotho Tuberculosis Prevalence Survey",26862,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among the tribal populations in India",26096,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis in western China in 2010-11: a population-based, cross-sectional survey",24214,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Population-based screening for pulmonary tuberculosis utilizing community health workers in Ethiopia",24181,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey",22290,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"A tuberculosis nationwide prevalence survey in Gambia, 2012",20811,"n.participants.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
NA,NA,"n.participants.total","Difference in extracted totals are greater than 5%

                                                                  across stratifications of data.

                                                                  Check all totals against each other."
"Prevalence of pulmonary tuberculosis in Wardha district of Maharashtra, Central India",26982,"n.presumptive.tb.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey",26948,"n.presumptive.tb.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis in adult population of Tanzania: a national survey, 2012",26919,"n.presumptive.tb.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary TB and spoligotype pattern of Mycobacterium tuberculosis among TB suspects in a rural community in Southwest Ethiopia",26890,"n.presumptive.tb.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis burden in an urban population: A cross sectional tuberculosis survey from Guinea Bissau",26883,"n.presumptive.tb.sex.total","Extracted total is not equal to sum of extracted stratified data."
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES",26868,"n.presumptive.tb.sex.total","Extracted total is not equal to sum of extracted stratified data."
