Raw data column name ,Short column name,Type,Description
"7.5.14. [Crude] Prevalence of sputum smear-positive TB (per 100,000) Total",prev100K.smear.positive.tb.hiv.total,numeric,
7.5.15. [Crude] Confidence Interval of 7.5.14 HIV-positive,prev100K.CI.smear.positive.tb.hiv.positive,numeric,
7.5.15. [Crude] Confidence Interval of 7.5.14 HIV-negative,prev100K.CI.smear.positive.tb.hiv.negative,numeric,
7.5.15. [Crude] Confidence Interval of 7.5.14 Total,prev100K.CI.smear.positive.tb.hiv.total,numeric,
"7.5.16. [Crude] Prevalence of all forms of TB (per 100,000) HIV-positive",prev100K.all.prevalent.tb.hiv.positive,numeric,
"7.5.16. [Crude] Prevalence of all forms of TB (per 100,000) HIV-negative",prev100K.all.prevalent.tb.hiv.negative,numeric,
"7.5.16. [Crude] Prevalence of all forms of TB (per 100,000) Total",prev100K.all.prevalent.tb.hiv.total,numeric,
7.5.17. [Crude] Confidence Interval of 7.5.16 HIV-positive,prev100K.CI.all.prevalent.tb.hiv.positive,numeric,
7.5.17. [Crude] Confidence Interval of 7.5.16 HIV-negative,prev100K.CI.all.prevalent.tb.hiv.negative,numeric,
7.5.17. [Crude] Confidence Interval of 7.5.16 Total,prev100K.CI.all.prevalent.tb.hiv.total,numeric,
"7.5.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) HIV-positive",adj.prev100K.bacteriological.tb.hiv.positive,numeric,
"7.5.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) HIV-negative",adj.prev100K.bacteriological.tb.hiv.negative,numeric,
"7.5.18. [Adjusted] Prevalence of bacteriologically-confirmed TB (per 100,000) Total",adj.prev100K.bacteriological.tb.hiv.total,numeric,
7.5.19. [Adjusted] Confidence Interval of 7.5.18 HIV-positive,adj.prev100K.CI.bacteriological.tb.hiv.positive,numeric,
7.5.19. [Adjusted] Confidence Interval of 7.5.18 HIV-negative,adj.prev100K.CI.bacteriological.tb.hiv.negative,numeric,
7.5.19. [Adjusted] Confidence Interval of 7.5.18 Total,adj.prev100K.CI.bacteriological.tb.hiv.total,numeric,
"7.5.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) HIV-positive",adj.prev100K.smear.positive.tb.hiv.positive,numeric,
"7.5.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) HIV-negative",adj.prev100K.smear.positive.tb.hiv.negative,numeric,
"7.5.20. [Adjusted] Prevalence of sputum smear-positive TB (per 100,000) Total",adj.prev100K.smear.positive.tb.hiv.total,numeric,
7.5.21. [Adjusted] Confidence Interval of 7.5.20 HIV-positive,adj.prev100K.CI.smear.positive.tb.hiv.positive,numeric,
7.5.21. [Adjusted] Confidence Interval of 7.5.20 HIV-negative,adj.prev100K.CI.smear.positive.tb.hiv.negative,numeric,
7.5.21. [Adjusted] Confidence Interval of 7.5.20 Total,adj.prev100K.CI.smear.positive.tb.hiv.total,numeric,
"7.5.22 [Adjusted] Prevalence of all forms of TB (per 100,000) HIV-positive",adj.prev100K.all.prevalent.tb.hiv.positive,numeric,
"7.5.22 [Adjusted] Prevalence of all forms of TB (per 100,000) HIV-negative",adj.prev100K.all.prevalent.tb.hiv.negative,numeric,
"7.5.22 [Adjusted] Prevalence of all forms of TB (per 100,000) Total",adj.prev100K.all.prevalent.tb.hiv.total,numeric,
7.5.23. [Adjusted] Confidence Interval of 7.5.22 HIV-positive,adj.prev100K.CI.all.prevalent.tb.hiv.positive,numeric,
7.5.23. [Adjusted] Confidence Interval of 7.5.22 HIV-negative,adj.prev100K.CI.all.prevalent.tb.hiv.negative,numeric,
7.5.23. [Adjusted] Confidence Interval of 7.5.22 Total,adj.prev100K.CI.all.prevalent.tb.hiv.total,numeric,
Does this survey/study report results by age grp?,report.age,logical,
7.6. Results (by age grp):,results.age,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") 0-14",age.grp.1.range,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") 15-24",age.grp.2.range,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") 25-34",age.grp.3.range,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") 35-44",age.grp.4.range,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") 45-54",age.grp.5.range,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") 55-64",age.grp.6.range,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") 65+",age.grp.7.range,character,
"7.6.1. Age-grp definitions, if different (format ""XX-YY"") Total",age.grp.total.range,character,
7.6.2. Eligible participants 0-14,n.eligible.age.grp.1,integer,
7.6.2. Eligible participants 15-24,n.eligible.age.grp.2,integer,
7.6.2. Eligible participants 25-34,n.eligible.age.grp.3,integer,
7.6.2. Eligible participants 35-44,n.eligible.age.grp.4,integer,
7.6.2. Eligible participants 45-54,n.eligible.age.grp.5,integer,
7.6.2. Eligible participants 55-64,n.eligible.age.grp.6,integer,
7.6.2. Eligible participants 65+,n.eligible.age.grp.7,integer,
7.6.2. Eligible participants Total,n.eligible.age.grp.total,integer,
7.6.3. Participants 0-14,n.participants.age.grp.1,integer,
7.6.3. Participants 15-24,n.participants.age.grp.2,integer,
7.6.3. Participants 25-34,n.participants.age.grp.3,integer,
7.6.3. Participants 35-44,n.participants.age.grp.4,integer,
7.6.3. Participants 45-54,n.participants.age.grp.5,integer,
7.6.3. Participants 55-64,n.participants.age.grp.6,integer,
7.6.3. Participants 65+,n.participants.age.grp.7,integer,
7.6.3. Participants Total,n.participants.age.grp.total,integer,
7.6.4. People with presumptive TB 0-14,n.presumptive.tb.age.grp.1,integer,
7.6.4. People with presumptive TB 15-24,n.presumptive.tb.age.grp.2,integer,
7.6.4. People with presumptive TB 25-34,n.presumptive.tb.age.grp.3,integer,
7.6.4. People with presumptive TB 35-44,n.presumptive.tb.age.grp.4,integer,
7.6.4. People with presumptive TB 45-54,n.presumptive.tb.age.grp.5,integer,
7.6.4. People with presumptive TB 55-64,n.presumptive.tb.age.grp.6,integer,
7.6.4. People with presumptive TB 65+,n.presumptive.tb.age.grp.7,integer,
7.6.4. People with presumptive TB Total,n.presumptive.tb.age.grp.total,integer,
7.6.5. People with TB symptoms 0-14,n.symptoms.age.grp.1,integer,
7.6.5. People with TB symptoms 15-24,n.symptoms.age.grp.2,integer,
7.6.5. People with TB symptoms 25-34,n.symptoms.age.grp.3,integer,
7.6.5. People with TB symptoms 35-44,n.symptoms.age.grp.4,integer,
7.6.5. People with TB symptoms 45-54,n.symptoms.age.grp.5,integer,
7.6.5. People with TB symptoms 55-64,n.symptoms.age.grp.6,integer,
7.6.5. People with TB symptoms 65+,n.symptoms.age.grp.7,integer,
7.6.5. People with TB symptoms Total,n.symptoms.age.grp.total,integer,
