"Study.title","Study.ID","Column.name"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.7"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.bacteriological.tb.age.grp.total"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.smear.positive.tb.age.grp.2"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.smear.positive.tb.age.grp.3"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.smear.positive.tb.age.grp.4"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.smear.positive.tb.age.grp.5"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.smear.positive.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.smear.positive.tb.age.grp.7"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.1"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.2"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.3"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.4"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.5"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.7"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.smear.positive.tb.age.grp.total"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.prevalent.tb.age.grp.2"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.prevalent.tb.age.grp.3"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.prevalent.tb.age.grp.4"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.prevalent.tb.age.grp.5"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.prevalent.tb.age.grp.6"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.prevalent.tb.age.grp.7"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","adj.prev100k.ci.prevalent.tb.age.grp.total"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","additional.references"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","study.quality.representative"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","study.quality.random.selection"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","study.quality.nonresponse"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","study.quality.case.definition"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","study.quality.valid.instrument"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","study.quality.numerator.denominator"
"High incidence of pulmonary tuberculosis in an indigenous Saharia tribe in Madhya Pradesh, central India-A prospective cohort study","21429","study.quality.summary"
"High prevalence of tuberculosis and insufficient case detection in two communities in the Western Cape, South Africa","26970","additional.references"
"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan","26873","correspond.author.email"
"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan","26873","other.xpert.samples"
"Hyperendemic pulmonary tuberculosis in peri-urban areas of Karachi, Pakistan","26873","additional.references"
"Lesotho Tuberculosis Prevalence Survey","26862","other.smear.samples"
"Lesotho Tuberculosis Prevalence Survey","26862","other.xpert.samples"
"Lesotho Tuberculosis Prevalence Survey","26862","other.culture.samples"
"Lesotho Tuberculosis Prevalence Survey","26862","other.test.used"
"Lesotho Tuberculosis Prevalence Survey","26862","additional.references"
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey","26948","other.smear.samples"
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey","26948","other.xpert.samples"
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey","26948","other.culture.samples"
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey","26948","other.test.used"
"Namibia Tuberculosis disease prevalence survey, 2017-2018","26869","additional.references"
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)","26973","other.smear.samples"
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)","26973","other.xpert.samples"
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)","26973","other.culture.samples"
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)","26973","other.test.used"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES","26868","other.smear.samples"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES","26868","other.xpert.samples"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES","26868","other.culture.samples"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES","26868","other.test.used"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY 2016, PHILIPPINES","26868","additional.references"
"NATIONAL TUBERCULOSIS PREVALENCE SURVEY REPORT, Nepal, 2018-19","26867","study.doi"
"Persistent high prevalence of pulmonary tuberculosis in a resource-limited setting: threat to India's TB Free campaign","21428","screening.criteria"
"Persistent high prevalence of pulmonary tuberculosis in a resource-limited setting: threat to India's TB Free campaign","21428","other.smear.samples"
"Persistent high prevalence of pulmonary tuberculosis in a resource-limited setting: threat to India's TB Free campaign","21428","other.xpert.samples"
"Persistent high prevalence of pulmonary tuberculosis in a resource-limited setting: threat to India's TB Free campaign","21428","other.culture.samples"
"Persistent high prevalence of pulmonary tuberculosis in a resource-limited setting: threat to India's TB Free campaign","21428","other.test.used"
"Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia","26881","other.test.used"
"Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia","26881","additional.references"
"Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia","26881","study.quality.representative"
"Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia","26881","study.quality.nonresponse"
"Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia","26881","study.quality.case.definition"
"Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia","26881","study.quality.valid.instrument"
"Population-based prevalence survey of tuberculosis in the Tigray region of Ethiopia","26881","study.quality.same.data.collect"
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey","22290","other.smear.samples"
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey","22290","other.xpert.samples"
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey","22290","other.culture.samples"
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey","22290","other.test.used"
"Prevalence of Bacteriologically-Confirmed Tuberculosis in Urban Blantyre, Malawi 2019-20: Substantial Decline Compared to 2013-14 National Survey","22290","additional.references"
"Prevalence of pulmonary tuberculosis among adults in a north Indian district","26872","screening.criteria"
"Prevalence of pulmonary tuberculosis among adults in a north Indian district","26872","other.smear.samples"
"Prevalence of pulmonary tuberculosis among adults in a north Indian district","26872","other.xpert.samples"
"Prevalence of pulmonary tuberculosis among adults in a north Indian district","26872","other.culture.samples"
"Prevalence of pulmonary tuberculosis among adults in a north Indian district","26872","other.test.used"
"Prevalence of pulmonary tuberculosis among adults in a rural sub-district of South India","26884","other.smear.samples"
"Prevalence of pulmonary tuberculosis among adults in a rural sub-district of South India","26884","other.xpert.samples"
"Prevalence of pulmonary tuberculosis among adults in a rural sub-district of South India","26884","other.culture.samples"
"Prevalence of pulmonary tuberculosis among adults in a rural sub-district of South India","26884","other.test.used"
"Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011","26928","study.id"
"Prevalence of pulmonary tuberculosis among the tribal populations in India","26096","additional.references"
"Prevalence of pulmonary tuberculosis in far Western Nepal","26901","screening.criteria"
"Prevalence of pulmonary tuberculosis in far Western Nepal","26901","age.grp.total.range"
"Prevalence of pulmonary tuberculosis on the roof of the world","26874","additional.references"
"Prevalence of smear-positive pulmonary tuberculosis in a rural district of Ethiopia","26938","additional.references"
"Prevalence of smear-positive tuberculosis in persons aged >/= 15 years in Bangladesh: results from a national survey, 2007-2009","26956","other.smear.samples"
"Prevalence of smear-positive tuberculosis in persons aged >/= 15 years in Bangladesh: results from a national survey, 2007-2009","26956","other.xpert.samples"
"Prevalence of sputum smear-positive tuberculosis in a rural area in Bangladesh","26957","screening.criteria"
"Prevalence of sputum smear-positive tuberculosis in a rural area in Bangladesh","26957","additional.references"
"Prevalence of tuberculosis in a rural population aged 15 years and above in R.S. pura block of district JAMMU","26894","screening.criteria"
"Prevalence of tuberculosis in Faridabad district, Haryana State, India","26939","additional.references"
"Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control","26892","other.smear.samples"
"Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control","26892","other.xpert.samples"
"Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control","26892","other.culture.samples"
"Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control","26892","other.test.used"
"Prevalence of tuberculosis in Rwanda: Results of the first nationwide survey in 2012 yielded important lessons for TB control","26892","additional.references"
"Prevalence survey of bacillary pulmonary tuberculosis in Western Uttar Pradesh, India (BANDA SITE)","26984","additional.references"
"Prevalence survey of bacillary pulmonary tuberculosis in Western Uttar Pradesh, India (KANPUR SITE)","26985","additional.references"
"Prevalent infectious tuberculosis in Harare, Zimbabwe: burden, risk factors and implications for control","26886","additional.references"
"Pulmonary tuberculosis in an indigenous community in the mountains of Ecuador","26933","additional.references"
"Recurrence of pulmonary tuberculosis in India: Findings from the 2019-2021 nationwide community-based TB prevalence survey","26863","other.smear.samples"
